Word,Count
daydreamer,6
sitting,6
on,213
the,1026
sea,7
soaking,3
up,201
sun,10
he,51
is,163
a,333
real,7
lover,15
of,385
making,17
past,9
and,763
feeling,13
his,21
girl,6
like,194
he's,18
never,202
felt,14
figure,3
before,45
jaw-dropper,3
looks,3
good,8
when,282
walks,3
subject,3
their,7
talk,7
would,36
be,314
hard,36
to,737
chase,3
but,324
catch,3
could,63
change,16
world,57
with,187
hands,37
behind,13
"back,",7
oh,49
you,1466
can,106
find,53
him,14
sittin',6
your,403
doorstep,6
waiting,29
for,290
surprise,8
will,147
feel,102
been,109
there,94
hours,11
tell,51
that,418
he'll,9
life,47
eyes,43
make,106
melt,8
lends,3
coat,9
shelter,5
plus,3
shouldn't,5
stays,3
all,206
same,8
waits,3
then,91
sees,9
through,25
there's,49
no,101
way,78
i,1605
describe,5
what,100
i've,83
said,37
just,173
i'm,265
hoping,11
my,651
"""",100
"wait,",3
do,191
see,93
heart,163
sleeve?,3
it's,174
days,11
end,16
open,8
yours,9
too,50
"baby,",53
come,41
now,95
trying,34
how,73
i'd,32
hear,26
words,50
roll,3
out,101
mouth,9
finally,9
say,166
always,59
me,781
that's,34
made,70
you've,30
need,58
want,125
more,77
you'd,42
right,58
things,52
without,32
clue,9
save,15
best,23
last,40
one,120
should,89
know,195
you're,150
temporary,6
fix,6
this,138
not,75
rooted,6
it,690
don't,208
mean,16
much,28
filler,6
in,347
space,17
happened,6
free,19
dare,12
think,64
get,64
away,38
play,20
me?,40
yeah,48
why,74
every,69
time,109
tried,11
hardest,6
turns,9
ain't,122
enough?,3
still,31
mentioning,3
love,342
am,28
supposed,5
properly?,3
taking,9
these,18
chances,3
getting,11
nowhere,3
though,18
go,174
back,105
her,50
may,4
day,19
might,9
"but,",5
despite,6
truth,9
let,140
give,80
seems,12
meaner,3
treat,17
eager,3
persist,3
heartbreak,3
running,9
around,22
until,15
myself,32
so,228
you'll,35
mind,36
over,30
if,257
"wrong,",5
look,81
further,3
lust,3
i'll,105
enough,48
'cause,60
was,110
exactly,12
up?,24
or,67
keep,47
chasin',27
pavements,21
even,65
leads,21
nowhere?,21
waste,17
knew,27
place?,12
leave,57
there?,12
build,8
fly,5
circles,3
waitin',3
as,77
drops,3
begins,3
tingle,3
"finally,",3
pavements?,6
ohh,3
head,32
sense,3
where,31
then?,3
coy,3
turn,32
'round,3
fault,3
shoots,3
each,24
(every,3
time),3
grace,15
cold,31
shoulder,12
whenever,43
at,92
wish,72
shower,12
knives,12
see-through,3
our,70
admitting,3
satisfied,3
starting,7
"again,",3
role,3
fool,18
(just,3
you),11
daylight,3
try,21
'though,3
found,15
today,5
singing,3
loud,3
name,23
crazy,23
sometimes,34
dark,21
wishing,7
were,84
here,55
who,61
makes,15
lose,13
meant,11
acting,3
sensible,3
drift,3
into,38
crumbling,11
run,13
race,3
stop,9
freeze,3
"gone,",3
hold,45
"closer,",5
baby,69
lately,6
state,7
can't,90
help,30
spin,3
send,15
spinning,3
closer,12
"my,",3
blood,11
boils,3
sweet,3
taste,6
strips,3
down,163
bare,9
gets,6
favourite,3
mood,3
"trying,",3
fighting,5
feelings,3
crazier,3
pacing,3
floors,3
opening,3
doors,3
walk,15
boy,26
because,6
under,39
feet,14
air,8
bricks,3
pulls,3
weak,5
repeating,3
broken,5
tune,3
forever,7
excusing,3
intentions,3
pretendings,3
which,4
forgive,41
knowing,6
they,57
stone,6
an,23
us,69
tidy,9
only,87
begin,5
burst,4
bleed,3
desperately,3
link,3
instead,5
fall,38
knees,12
tear,11
once,13
again,39
burnt,3
steal,6
hand?,3
standing,14
own,37
ground,6
"up,",7
dead,4
well,5
album,3
version:,10
live,14
little,12
"time,",11
empty,9
are,109
mind.,6
please,32
wear,4
"face,",3
"smile,",3
lighten,5
start,14
cry.,3
first,34
"love,",62
tired.,6
again.,3
understand,19
"why,",3
close,17
wipe,15
"eyes,",5
bribing,3
doubt,11
myself;,3
"simply,",3
tiring.,3
has,79
dried,3
stayed,5
"behind,",3
stay,29
lie,10
choke,3
hide.,3
excuse,3
we're,25
through.,3
kiss,19
from,44
someone,21
new.,3
bored,3
least,18
"i,",5
lack,3
desire.,3
"me,",47
wants,15
rain,33
it\'s,15
better,39
something,25
wrong,19
excitement,6
bones,6
everything,64
do\'s,3
game,6
night,34
comes,6
you\'re,50
"""i",3
chose,6
"alone""",3
harder,6
top,15
\'cause,18
work,9
don\'t,61
pay,13
off,37
i\'m,89
tired,33
ain\'t,71
room,14
bed,13
far,25
concerned,12
dirty,16
smile,17
we,247
won\'t,40
i\'ve,42
cried,32
had,88
riding,3
high,3
you\'ll,3
crumble,5
believe,12
worst,3
ahead,5
cry,28
hurt,13
did,28
both,23
blame,15
endless,3
everything\'s,3
strain,3
alone,31
of...,3
"woah,",3
yeah!,3
woah,6
oh!,5
da!,3
',18
blowing,6
face,44
whole,13
case,13
offer,3
warm,3
embrace,3
evening,3
shadows,4
stars,11
appear,3
dry,3
tears,11
million,11
years,13
haven't,7
yet,10
known,33
moment,8
met,37
belong,7
hungry;,3
black,57
blue,11
crawling,5
avenue,3
"no,",18
nothing,70
wouldn't,14
storms,5
raging,3
rolling,35
highway,3
regret,6
winds,3
wild,3
seen,8
"happy,",3
dreams,5
true,13
ends,9
earth,4
stubborn,12
\'cept,6
softening,6
"selfish,",6
agree,6
giving,21
fact,8
we\'ve,6
other,15
year,6
"say,",8
"""pff,",6
"longer,",6
"dear.""",6
"close,",6
sit,12
chairs,6
prefer,9
floor,20
walking,17
"other,",7
we\'d,6
match,6
"all,",16
"do,",21
thought,23
"myself,",7
somehow,3
"this,",9
argue,3
i\'d,13
didn\'t,7
"provocative,",3
conservative,3
"adventurous,",3
very,3
"cautious,",3
combining,3
you\'d,11
"wouldn\'t,",3
favouritism,6
thing,10
situation,6
glad...,3
glad,3
exception,3
"giving,",3
hand,21
while,15
cut,3
it\'d,3
begun,7
heat,5
moments,3
playing,3
between,24
middle,3
watching,7
hastiness,3
unfold,3
smiling,3
spotlight,3
dancing,3
fell,7
teasing,17
fed,15
biding,15
"what,",30
where\'d,3
looked,7
inside,21
outside,9
double,3
punching,3
laughing,3
obviously,3
have,86
"""never",3
"mind,""",3
arms,17
couldn\'t,13
trick,3
them,13
though...,3
missing,9
cracks,3
pavement,4
tutting,3
heel,3
strutting,3
"""is",3
anything,3
dear?,3
anyone,3
"call?""",3
"""no",3
thank,3
"you,",8
madam.,3
"lost,",3
"wandering""",3
round,16
hometown,12
memories,17
fresh,6
ooh,22
people,15
wonders,24
city,6
thick,3
opaque,3
everybody,18
short,5
"skirts,",3
shorts,3
shades,29
two,8
worlds,6
collide,4
government,3
different,15
sides,5
shows,15
gonna,93
stand,35
shit,8
united,6
take,88
"(doo-da-da-da-da-da-da-da-dah,",3
